Level, h1, h2, h3, h4, h5, h6, h7, h8, h9, h10, h12, h13, h14, h15, h16, h17
Level 1,0.0009444136271468222,0.0002622650508160976,0.0002383276652754023,0.00011382336072829211,0.00012347675418524992,0.0001095125548716585,0.0007652767797869243,0.0005673080229935777,0.0015637027775151494,0.00023634633214895037,0.047480109845030295,0.00865555876167729,0.0001688306871516225,0.001160112613920537,0.0024227788548182175,0.05294570562727483
Level 2,0.0005050979554653168,0.0003889992833137512,0.000318000465631485,0.0002568982541561127,0.00023899897933006288,0.0002489998936653137,0.0003312014043331146,0.00026710033416748046,0.001320500671863556,0.0002696000039577484,0.049472802132368085,0.0012891009449958802,0.0033726997673511503,0.004934199899435043,0.004304999113082885,0.05392570197582245
Level 3,0.00024631641255259745,0.00019190823872209295,0.00014953974082063492,0.00008110905164678762,0.00008075087191932424,0.00007609811719144427,0.00018634539776421466,0.00017311450782591498,0.0005292308634204229,0.00015695195214410454,0.03213182335134272,0.002552636857323986,0.0001196805380435647,0.0005907487686283054,0.0008354027712368482,0.045963869627825504
Level 4,0.0004943804371924628,0.00026299981843857536,0.00024028548172542026,0.0003336192596526373,0.00024614305723281136,0.00026090478613263084,0.0017034290801911127,0.00025457108304614113,0.004359048746881031,0.00020219137271245322,0.08813309598536719,0.0019624286464282443,0.0003582377518926348,0.003061950206756592,0.0018184756239255269,0.08973271470694315
Level 5,0.0006981900050526573,0.0003817155957221985,0.0004142377348173232,0.0005142855502310253,0.00043219044094993953,0.00042995171887534004,0.0013554752582595462,0.0004222382392202105,0.0020240949732916696,0.00033995260794957477,0.090159952995323,0.002082142446722303,0.0006367610323996771,0.002990951495511191,0.004509236840974717,0.3100607139723642
Level 6,0.0008841000497341156,0.00040990114212036133,0.0003877006471157074,0.0005555987358093262,0.00043409988284111024,0.00043660178780555723,0.0022240005433559417,0.0019561007618904116,0.0023295991122722626,0.00031019970774650576,0.12951750010252,0.004148999601602555,0.0006375990808010102,0.0035782001912593843,0.004651199281215668,0.1537536010146141
Level 7,0.00034991231012384974,0.0001665459139815181,0.00013981360364610128,0.00008588454970103107,0.00008023167393936616,0.00008782623986216989,0.0005166458292805559,0.00029739569967812533,0.0012024374681904124,0.0001313391869833766,0.05864577263504825,0.0020645013351939,0.00013131650047316462,0.0008752832166990186,0.0016804819409394385,0.0632643009182161
Level 8,0.0005117002460691664,0.0002271115779876709,0.000435899943113327,0.0009240777128272586,0.0002530778447786967,0.0002637225720617506,0.0004002557032638126,0.00025548934936523435,0.0005831332670317756,0.00019428920414712693,0.071056766808033,0.0015814773738384246,0.00048624492353863184,0.0006306776569949256,0.019818388587898677,0.07607431105441517
Level 9,0.00047121928972110414,0.00023242118850088956,0.00022935063431137487,0.0003113858728555211,0.00022914476300540723,0.00024336841153471092,0.00028557474153083665,0.00023954371480565322,0.0006076754642683163,0.00018557448659026833,0.03803442996975623,0.005227184544006984,0.00044623246056991713,0.0005879645611633334,0.0006617145580157899,0.053778162160724924
Level 10,0.0002755557985178062,0.00015597510189294562,0.00014436527439303743,0.00007550909952409486,0.00007903856386158512,0.00007414005335364769,0.00018812073414513805,0.00014982774043515292,0.0003490721467318438,0.00012509685470414822,0.03641169477722792,0.002752329297324043,0.0001077646149326362,0.0003776582412675881,0.0006379349611953758,0.044526839444139744
Level 11,0.00023365825743705315,0.00014209357157866662,0.00016749628303429557,0.00007513255570338477,0.00007113144115067932,0.00008026809362081574,0.00017847374206963148,0.00013013929912093812,0.0003951487418354247,0.00011083545980017267,0.0616586556938231,0.001985155610067987,0.00008806523589807103,0.0005409805540908147,0.00033165247313733106,0.07051379592025693
Level 12,0.0002663875779526382,0.0001541643863343923,0.00013203132287257135,0.00006891432370843187,0.00007571143029773303,0.00006892826345007298,0.00016548857934730875,0.00014703771573002056,0.00034805110534705686,0.00011342938000199485,0.0339805408142044,0.001905171060461109,0.00009201188377067868,0.00032749869813353326,0.0003616204495820622,0.05027798859328873
Level 13,0.00039499967108739105,0.00015919206951158163,0.00015804458688534304,0.00006956443781369583,0.00008236253970520087,0.00008152862346119818,0.00020638683556460074,0.00027722749022135126,0.0007515981648987085,0.00011837088063950055,0.06213964869797493,0.003119604229139336,0.00011429869130844587,0.0006704648567716456,0.000826322307670694,0.07676471791997355
Level 14,0.0002092359697117525,0.00013964754693648394,0.00011594067601596608,0.00006641184582429774,0.00007264622870613547,0.00007211723748375388,0.0001558819237877341,0.00014917640125050266,0.0002834700486239265,0.00011829418294570026,0.028247410321936887,0.0006736464360181023,0.00008547086926067576,0.0003375288318185245,0.0010352345073924346,0.03395241323639365
Level 15,0.00034124227941677136,0.00017913955674376538,0.0001524941575142645,0.00008032779379557538,0.00008218306847797926,0.00008267236332739554,0.0002715482266359432,0.00020885507586181805,0.00045030656200583264,0.00014635479898862942,0.09185448873748062,0.004400887236159335,0.00010501585339987149,0.0006112416264831379,0.0022379461956280535,0.10498301092014518
Level 16,0.0006303995847702027,0.0003411993384361267,0.0001981973648071289,0.00009419918060302735,0.00008739829063415527,0.00008299946784973145,0.00043199807405471804,0.00026459991931915283,0.0008029997348785401,0.00017919987440109252,0.08231000155210495,0.00592159777879715,0.00011360198259353637,0.0011501967906951903,0.002461200952529907,0.0936387985944748
Level 17,0.0007729753851890564,0.00040519510100527507,0.00035573160502968767,0.00016802440329295832,0.00016309720713917803,0.00016175573918877578,0.000420634339495403,0.0004155852082299023,0.001154316452945151,0.0002786827886976847,0.1269383653998375,0.0026142684424795754,0.00020082930966121393,0.0013019020964459675,0.002254951472689466,0.13954009733548978
Level 18,0.000374675989151001,0.00016927963495254518,0.00014716392755508424,0.0002030639350414276,0.00008074381947517395,0.00007490015029907226,0.0001994323432445526,0.00016574007272720338,0.002532983958721161,0.00013869231939315796,0.0695573559999466,0.0027906761169433593,0.00009372037649154663,0.0006699321269989013,0.0007910794317722321,0.1065652438402176
Level 19,0.00040371515580586026,0.000188108343737466,0.00013249460629054477,0.0000697307995387486,0.00007847472258976528,0.00007441872188023158,0.00022932155983788628,0.00016808161054338727,0.0005561648096357073,0.00012547383649008615,0.05117547537939889,0.0010159593599183218,0.00010619831766401018,0.000503166161264692,0.000657880449295044,0.06206703365019389
Level 20,0.0003670749380075236,0.0001739799776467439,0.00013697523146487977,0.00008798904122321259,0.00007515704467902641,0.00007510662958335749,0.00022726745452759332,0.00016692617869393126,0.0009143389466622785,0.00014699920662132227,0.07649486696036528,0.0032198920156394453,0.00010770464866933688,0.0005229450077677957,0.0004615804299182495,0.1388589558596982
Level 21,0.00035032257437705994,0.0001876077481678554,0.00017542817762919834,0.0000818925244467599,0.00008192951125758035,0.00008257185774190085,0.00027328596583434513,0.00020957099539893015,0.0006388920758451734,0.00016035804791109904,0.06842124994312014,0.006116286186235291,0.00010521470436028071,0.0005578212440013885,0.0013133218245846884,0.08015503574694906
Level 22,0.0006593638523058457,0.0003331364555792375,0.000286270948973569,0.0001459087837826122,0.00014800036495382136,0.0001507286321033131,0.00041777301918376577,0.00035159154371781784,0.0008110918781974099,0.00023686377839608625,0.08238272673704407,0.005165682258931073,0.0001932267438281666,0.0009085461497306824,0.0022521364417943087,0.09079481729052284
Level 23,0.0005221602320671082,0.00022397950291633606,0.0002055200934410095,0.00010924100875854492,0.00009934008121490479,0.00009938016533851623,0.0005260203778743744,0.00037144020199775696,0.0005096596479415894,0.00019300013780593873,0.13882769986987115,0.0012889397144317627,0.00013780027627944947,0.0007965600490570068,0.0021688000857830046,0.16154259994626044
Level 24,0.0004282740080236625,0.0001750304470177866,0.00014821697877434267,0.00008003138626047153,0.00007691430101201242,0.00007171272895219087,0.0003183916683748169,0.00019255615077792381,0.0004317018329261025,0.00011802811008577268,0.06987686113281998,0.00217225680257824,0.00012503484603143677,0.0004890891903691555,0.0006519270405859509,0.07951698277955667
Level 25,0.0004338502883911133,0.00021105073392391205,0.00015734992921352388,0.00008109994232654571,0.000086299329996109,0.00008499994874000549,0.0005111999809741974,0.0003419492393732071,0.0005952000617980957,0.00014679953455924987,0.1208331510424614,0.0012306995689868928,0.00011484995484352112,0.00074630007147789,0.0019767004996538162,0.13957385048270227
Level 26,0.0007669158279895782,0.0003392500181992849,0.00026671650509039563,0.00013018387059370677,0.00012703314423561095,0.00013501644134521483,0.0010538168251514434,0.0005288664251565933,0.000618816539645195,0.00023313363393147787,0.20227673339347044,0.0017735835164785386,0.00018123375872770945,0.0010448835790157318,0.0030822170277436576,0.20859671644866468
Level 27,0.0003861137436109808,0.00017903037146513415,0.00012911358633828983,0.00007416326302049406,0.00007437373635391126,0.00007665348037386867,0.0002609189454972833,0.00016546774772517885,0.0004696975808774409,0.00013430502894926143,0.058668105004101946,0.0011442492678427375,0.00010498437713079923,0.0005901592250451201,0.001351405152290926,0.06104816900919817
Level 28,0.0005872004561377783,0.00023069370925696189,0.00016158550790988565,0.00007327076526124677,0.00008414954911778706,0.00007858231606651091,0.0005172669830489897,0.0004088169283415439,0.0005766422547117326,0.00016099368855798034,0.11480591427489435,0.001971375527819233,0.00011274773009015092,0.0007418897528080752,0.0013227980626695794,0.1211393282434644
Level 29,0.00032166601746272795,0.00016449833575190838,0.00013058871272953658,0.00007507040643580482,0.00007701224713846188,0.00007309652172431678,0.00031237942229112085,0.00017282521304247137,0.00045266665108286363,0.00013996019388938733,0.06097545149704806,0.0012559917878447152,0.00010582469435846455,0.0003598737064347719,0.0005599119014066677,0.08939353416617773
Level 30,0.0003685504000681823,0.00017627861495364785,0.00014146962577514356,0.00007700877862981589,0.00007739872557546212,0.00007964378418488476,0.00021775892150687894,0.0002583074574044784,0.0007259931925085621,0.00013267144941781463,0.05325993208703434,0.005681604527924957,0.00010316161832867561,0.0008406582792905296,0.0006250086409364383,0.08531834337905253
Level 31,0.0005371987819671631,0.000248602032661438,0.00021820068359375,0.00007399916648864746,0.0000742003321647644,0.00007599890232086181,0.0004359975457191467,0.0002671986818313599,0.005600199103355408,0.0001998007297515869,0.2095009982585907,0.018915198743343353,0.00009920001029968261,0.000906398892402649,0.0009034022688865662,0.24836559891700744
Level 32,0.00036740756553152335,0.0001687950946344352,0.0001505549950814395,0.00007337826934660444,0.00008024412976658863,0.0000779856181477908,0.000400897800367071,0.0016561477242604545,0.0017496185724316918,0.00012812385370272286,0.1059693495575223,0.0018490164812584842,0.00010131295215083945,0.00048409003347898863,0.000608551261587913,0.41443284863710217
Level 33,0.0004267609119415283,0.00017823994159698486,0.00013900011777877807,0.00007256031036376953,0.00007936060428619385,0.00007503986358642578,0.0002795204520225525,0.0001956397294998169,0.0009741604328155518,0.00013052046298980713,0.07246971994638443,0.0019482004642486573,0.00009875982999801636,0.0007349610328674317,0.0006675603985786438,0.07809992134571075
Level 34,0.0005451813340187073,0.0002522732723842968,0.0001661811362613331,0.00008809092369946566,0.00009745359420776367,0.00009509108283303,0.0002841827544299039,0.00028482011773369527,0.0009293651038950139,0.00019945271990515968,0.05295945365320553,0.0009777274998751554,0.00011154399676756425,0.0006277269937775352,0.0008250908418135209,0.06422581794587048
Level 35,0.00035336342724886805,0.00022690946405584162,0.00018381733785976064,0.00010700117457996716,0.00010545348579233342,0.00010418079116127707,0.0002565431323918429,0.00025163455442948776,0.0008900903842665932,0.00017163563858379018,0.05200663818554445,0.0008543634956533259,0.00010918080806732178,0.00046745416792956263,0.0006418180736628445,0.06250563670288432
Level 36,0.0006360755516932561,0.0003019227431370662,0.00027546171958629903,0.00012615380378869863,0.00013361412745255692,0.00012915294903975265,0.0004176933031815749,0.000355229927943303,0.00197407603263855,0.00023076855219327487,0.09003807604312897,0.0019380003213882446,0.00015907734632492065,0.0008159222511144785,0.0010910773506531348,0.09885853758225074
Level 37,0.0003858885003460778,0.0002015997138288286,0.0001491222944524553,0.00008155595925119188,0.00008558846182293362,0.00008193370368745592,0.00029452269275983173,0.0001940108835697174,0.0005068329473336537,0.0001318779256608751,0.06979961097240447,0.0018751778536372716,0.00010877740052011278,0.0005938222838772668,0.0009977778626812828,0.07841856686605347
Level 38,0.0003457152181201511,0.00016176384977168508,0.0001350697647366259,0.00007492340066366726,0.0000793886784878042,0.00007888224596778552,0.00036779139190912247,0.0002682709342075719,0.00047395854360527464,0.00012360456296139292,0.08864953503426579,0.00147697189822793,0.00010436778474185202,0.0006129931037624677,0.001467069507473045,0.09685415241660343
Level 39,0.0004063851055614451,0.00017280781014080354,0.00015365758681679792,0.00007750269244698917,0.00007898416270546735,0.00007893041493420932,0.00046683955479433193,0.00028121921627279273,0.0006216204262034778,0.00014047049742968963,0.09795505326380705,0.0033034547605616522,0.00010857229086167035,0.0006506843044158609,0.0015031174622117517,0.1060795823839259
Level 40,0.00037092694439402847,0.00017304639178416568,0.00014976029614346902,0.0000786733408346459,0.00008147517659171409,0.00007850173365063353,0.0002588346329188326,0.00018149790043711251,0.0005116822883746707,0.00013541271413160437,0.059322114460341996,0.004627223723476349,0.0001121354106124398,0.00039942950811049717,0.0006760082494737418,0.06671816471422856
Level 41,0.0003448237174704333,0.00017523941975696863,0.00014633248074529152,0.0000738341276831831,0.00007829969040392628,0.0000782873228154795,0.00022216086799011422,0.0002553477432925995,0.0004887456257337287,0.00012215386409903653,0.058788611903148574,0.0028319444967156993,0.00010117625709745085,0.0006559545207083675,0.001449390401317731,0.06914581853886996
Level 42,0.00033995735325983593,0.0001599272161874236,0.00013356697650588288,0.00006983867770403016,0.00007416013799303648,0.00007117103443157916,0.00021477360088302164,0.00016050832346081734,0.0004477493502959913,0.00010766126975721243,0.05648634563751367,0.004113368001025246,0.00009523477519349176,0.0006122810870637091,0.001355364115680663,0.06217881387612802
Level 43,0.00026903620788029263,0.00016028593693460737,0.00012800044247082302,0.00007496481495244163,0.00007828591125352042,0.00007335815046514784,0.0001799288604940687,0.00017596515161650523,0.0003468215997729983,0.00011542918426649911,0.037414249564920156,0.0007104642157043729,0.00009435707969324929,0.0004526775862489428,0.001099820381828717,0.046106785269720216
Level 44,0.0003615291815408519,0.00016891144810707916,0.0001406614926639297,0.00007048783377862312,0.0000760584982208243,0.00007228187936852236,0.00025364947570881375,0.00016000300750766003,0.0004767643296522714,0.00012046128091677813,0.07321221997935168,0.0022471143623612857,0.00010084712379415271,0.0005303450156125665,0.001349213129967591,0.08453282158594456
Level 45,0.00025047011235181023,0.00015511845841127282,0.00011429497424293967,0.00007029447485418881,0.00007417710388407988,0.00006888149415745455,0.00014605899067486033,0.00018458681948044722,0.0003129406010403353,0.00012382426682640524,0.03364023478592143,0.0005502341424717623,0.00008064596091999727,0.0003530593479380888,0.0007550584919312421,0.04299494142041487
Level 46,0.00032315471735438355,0.00015069551521149888,0.0001359617415933401,0.00007296674180001542,0.00007484507960595344,0.00007236093662434426,0.00021738340660110733,0.0001969954074984648,0.0003340226061365375,0.00011896392136656656,0.05451387355357436,0.0029623985352291446,0.00010018679406293741,0.00046780497169692274,0.0005121708584227078,0.05990827740117162
Level 47,0.0002838327471478527,0.0001555933835971878,0.00014841829638082192,0.00007452587207475031,0.00009915550272778211,0.00007889606800687266,0.00018111951797606936,0.00019976084094598475,0.00073945017687353,0.00011958549934554385,0.053772190771254884,0.0027487847315837664,0.00009289238438663254,0.0004489320623447221,0.00047118712468926176,0.09638441051263734
Level 48,0.00035397072925287136,0.0001931475365863127,0.00016355930882341722,0.00007996971116346471,0.00008094201193136327,0.00008002975407768699,0.0002482051358503454,0.00022476385621463552,0.0006397938465370852,0.00014552956118303186,0.05081376499112915,0.001218176501638749,0.00011438306640176212,0.0005673818728503059,0.000723940265529296,0.06053850010913961
Level 49,0.0005024715381510117,0.00027282492202870985,0.00017964839935302734,0.00007952881209990558,0.00008988073643516091,0.00008023486417882582,0.0003077054724973791,0.00025711778332205377,0.0009282354046316707,0.00021317557376973769,0.07571558873443042,0.0075958235298886016,0.00012599939809126014,0.0008273523520020878,0.0007715882623896879,0.08272123555926715
Level 50,0.00037593021988868713,0.00026038909951845807,0.00017962428844637342,0.00008087584541903602,0.00008200005524688297,0.00008144457307126786,0.00027491731776131526,0.0002631250148018201,0.0006174722479449378,0.00014216618405448066,0.06490180579324563,0.003078167119787799,0.00010772183951404359,0.0010545977080861728,0.0011693609671460257,0.08131295835806264
Level 51,0.00032004029527912294,0.0002367480135545498,0.00015898333574698224,0.00008038243627160545,0.00008101597791764794,0.00008148790859594578,0.0002489350433272075,0.00024388682066909666,0.0005616423318056557,0.00013589410762476726,0.06469473133726818,0.003610585399759494,0.0001022684864881562,0.0009488783231595667,0.001156975583332341,0.07810075593188526
Level 52,0.00036271940916776657,0.0001931560691446066,0.00018253084272146225,0.00008021900430321693,0.00008181203156709671,0.00008315593004226685,0.0002745946403592825,0.00019303127191960812,0.0005804069805890322,0.0001275308895856142,0.0641598750371486,0.002143031219020486,0.00010590627789497375,0.0007791873067617416,0.0008009374141693115,0.0692420625127852
Level 53,0.0004102337167867078,0.00017347797226385784,0.00014891676204716598,0.00008334093945938469,0.0000782993215842535,0.00008259581139423703,0.00032334446957047353,0.0003468064466278825,0.0004479169095522605,0.00015044543617123726,0.1038886681099066,0.002724322470392557,0.00012176171095179231,0.0006976310251243162,0.0012067804813084987,0.11393753200044368
Level 54,0.0002940915056041904,0.00017395042456113375,0.0001486292356377715,0.0000793632198046971,0.0000769441256989966,0.00008006967031038724,0.00022196509204544388,0.0002804267239737344,0.0004051469943740151,0.00011976933354264372,0.06209309112567168,0.0023157341288519906,0.00009785337256384897,0.0005141121524197238,0.000505874206969788,0.06390882486646826
Level 55,0.00034082247644451493,0.00018464583665766615,0.0001575818932648246,0.00007951714045612525,0.00007736883687634841,0.00008129767069579861,0.00022315624969225403,0.000287943275262278,0.0004115746164998264,0.00013244004114299802,0.06275614181942973,0.002986234077747832,0.00010177989800771077,0.0005024966407329478,0.00048756002323001833,0.07294936869161349
Level 56,0.00032559980948766075,0.00016668885946273803,0.0001399553484386868,0.0000794880919986301,0.00007991145054499308,0.00007986641592449612,0.00030193312300576106,0.0002094217472606235,0.000555421577559577,0.00014402220646540323,0.07781006710396873,0.001649933225578732,0.0001123330659336514,0.0005045339465141296,0.0006821336017714606,0.089060577750206
Level 57,0.0004223048160541748,0.00019535677502035978,0.0001604781593027012,0.00007398116225934239,0.00008030415195478191,0.00008252263069152832,0.00037073620519179474,0.0002984068841765743,0.0005357000161550932,0.00014757888649349942,0.07091647856836815,0.0035613984001162478,0.00010969439362403338,0.000599911788494945,0.00100074152921905,0.07423932149757698
Level 58,0.000551026772681184,0.00023236430094862118,0.0001741052302890336,0.00008408840455236941,0.00009165356696352543,0.00009190959017554215,0.00034807301395441836,0.0003253418426208989,0.0008594352080419036,0.00016598178986740555,0.06638002259839629,0.002248384480276283,0.0001294609603848684,0.0011493501615255919,0.0007911397378840523,0.07047229893524073
Level 59,0.00047998197234360275,0.00023168572289928509,0.00017328825441135723,0.00008283730240384485,0.00008497182825568375,0.00008712263623620295,0.00031575179973225684,0.00035167097475877993,0.0013388552511953244,0.00016256850426364097,0.06286947060542501,0.003531176003680867,0.00011667653823354442,0.000991766229746448,0.0006453209916117844,0.15959647632708215
Level 60,0.000322044029057098,0.00017308185942371926,0.00013508412721223383,0.00011875284193793116,0.00007574375281887447,0.0000761253865122651,0.0002272837845993734,0.0002902552638621832,0.00116068760187623,0.00010874335718270225,0.05668759686194423,0.002951978318204038,0.00010262625303205008,0.0007947889292903217,0.0005209908583071961,0.1445353881479607
Level 61,0.0002498974711258219,0.00013883242973629733,0.00014670804975936132,0.00007174113152190025,0.000074698618665245,0.00007462607499975596,0.00021360861773816694,0.00018859572754883618,0.001975178926812936,0.00012057023759214034,0.05941649688789563,0.004505752165865454,0.0000905948303501058,0.0005432620366908009,0.000751447844209138,0.1777677434803166
